Name,QuantityType/0,DimensionalClass,SameUnit/0/_uom,SameUnit/0/_namingSystem,CatalogName,CatalogSymbol/_isExplicit,CatalogSymbol/__text,_id,_annotation,QuantityType/1,BaseUnit/BasicAuthority,QuantityType/2,BaseUnit/Description,Deprecated,QuantityType/3,QuantityType/4,QuantityType/5,QuantityType/6,QuantityType/7,SameUnit/1/_uom,SameUnit/1/_namingSystem,SameUnit/2/_uom,SameUnit/2/_namingSystem,QuantityType/8,QuantityType/9,QuantityType/10,QuantityType/11,QuantityType/12,ConversionToBaseUnit/Factor,ConversionToBaseUnit/_baseUnit,ConversionToBaseUnit/Fraction/Numerator,ConversionToBaseUnit/Fraction/Denominator,ConversionToBaseUnit/Formula/A,ConversionToBaseUnit/Formula/B,ConversionToBaseUnit/Formula/C,ConversionToBaseUnit/Formula/D,SameUnit/3/_uom,SameUnit/3/_namingSystem
becquerel,activity (of radioactivity),1/T,Bq,RP66,POSC,true,Bq,Bq,Bq,,SI,,The activity of a radionuclide decaying at the rate of one spontaneous nuclear transition per second,,,,,,,,,,,,,,,,,,,,,,,,,
becquerel per kilogram,specific activity (of radioactivity),1/MT,Bq/kg,RP66,POSC,true,Bq/kg,BqPkg,Bq/kg,,WITSML,,,,,,,,,,,,,,,,,,,,,,,,,,,
byte,digital storage,1,,,POSC,true,byte,byte,byte,,POSC,,"The capacity, in bytes, of a storage device or an information system,is one eighth of the base two logarithm of the number of possible states of the device or system.",,,,,,,,,,,,,,,,,,,,,,,,,
coulomb,electric capacity,CT,C,RP66,POSC,true,C,C,C,electric charge,SI,electric flux,"The time integral of electric current,equal to 1 A.s",,,,,,,,,,,,,,,,,,,,,,,,,
coulomb metres,electric dipole moment,CTL,C.m,RP66,POSC,true,C.m,CTm,C.m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coulomb per kilogram,exposure (radioactivity),CT/M,C/kg,RP66,POSC,true,C/kg,CPkg,C/kg,,WITSML,,,,,,,,,,,,,,,,,,,,,,,,,,,
coulombs/square metre,electric polarization,CT/L2,C/m2,RP66,POSC,true,C/m2,CPm2,C/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coulombs/cubic metre,charge density,CT/L3,C/m3,RP66,POSC,true,C/m3,CPm3,C/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
candela,luminous intensity,B,cd,RP66,POSC,true,cd,cd,cd,,SI,,"The candela is the luminous intensity, in a given direction,of a source that emits monochromatic radiation of frequency 540 X 10**12 hertz and that has a radian intensity in that direction of 1/683 watt per steradian.",,,,,,,,,,,,,,,,,,,,,,,,,
candelas/square metre,luminance,B/L2,cd/m2,RP66,POSC,true,cd/m2,cdPm2,cd/m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equivalent,electrochemical equivalent,CT/N,eq,RP66,POSC,true,eq,eq,eq,,,,The charge contained in one mole of electrons. The amount is equal to 96487 coulombs.,,,,,,,,,,,,,,,,,,,,,,,,,
equivalent per kilogram,equivalent per mass,CT/MN,eq/kg,RP66,POSC,true,eq/kg,eqPkg,eq/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equivalents per cubic metre,equivalent per volume,CT/L3N,eq/m3,RP66,POSC,true,eq/m3,eqPm3,eq/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
